image_id,file_path,level,level_idx,level_name,label,is_fake,severity_weight,source,split,orig_width,orig_height,orig_path,sha1
L0_fake_001,dataset/images/L0_fake_001.jpg,L0,0,Procedural / abstract,fake,1,0.5,stable-diffusion-1.5,train,512,512,images/L0DeepFake/sd_abstract_027.jpg,5dcef578237409b1
L0_fake_002,dataset/images/L0_fake_002.jpg,L0,0,Procedural / abstract,fake,1,0.5,stable-diffusion-1.5,train,512,512,images/L0DeepFake/sd_abstract_026.jpg,4fad5ecfefd8b141
L0_fake_003,dataset/images/L0_fake_003.jpg,L0,0,Procedural / abstract,fake,1,0.5,bing-image-creator,train,1248,832,images/L0DeepFake/Random_colour_splash_image-2.jpg,9ce5b2188ddc3a0a
L0_fake_004,dataset/images/L0_fake_004.jpg,L0,0,Procedural / abstract,fake,1,0.5,bing-image-creator,train,1248,832,images/L0DeepFake/Noise_frattale-2.jpg,b2748e4c89722c79
L0_fake_005,dataset/images/L0_fake_005.jpg,L0,0,Procedural / abstract,fake,1,0.5,stable-diffusion-1.5,train,512,512,images/L0DeepFake/sd_abstract_004.jpg,f9ba5cb540acbff0
L0_fake_006,dataset/images/L0_fake_006.jpg,L0,0,Procedural / abstract,fake,1,0.5,stable-diffusion-1.5,train,512,512,images/L0DeepFake/sd_abstract_014.jpg,5320a5081e1d7fd6
L0_fake_007,dataset/images/L0_fake_007.jpg,L0,0,Procedural / abstract,fake,1,0.5,bing-image-creator,train,1248,832,images/L0DeepFake/3d_procedural_geometric_render-2.jpg,2c27f617de618465
L0_fake_008,dataset/images/L0_fake_008.jpg,L0,0,Procedural / abstract,fake,1,0.5,bing-image-creator,train,1248,832,images/L0DeepFake/3d_procedural_geometric_render-1.jpg,0dbaba6bcc8089ef
L0_fake_009,dataset/images/L0_fake_009.jpg,L0,0,Procedural / abstract,fake,1,0.5,bing-image-creator,train,1248,832,images/L0DeepFake/Random_colour_splash_image.jpg,071b70e7bb3f4ac1
L0_fake_010,dataset/images/L0_fake_010.jpg,L0,0,Procedural / abstract,fake,1,0.5,bing-image-creator,train,1248,832,images/L0DeepFake/3d_procedural_geometric_render.jpg,8e9f66e35496a632
L0_fake_011,dataset/images/L0_fake_011.jpg,L0,0,Procedural / abstract,fake,1,0.5,stable-diffusion-1.5,train,512,512,images/L0DeepFake/sd_abstract_013.jpg,d6d50da0f0313fa9
L0_fake_012,dataset/images/L0_fake_012.jpg,L0,0,Procedural / abstract,fake,1,0.5,bing-image-creator,train,1248,832,images/L0DeepFake/Noise_frattale-3.jpg,b386b6660d6534f3
